"lon","lat"
103.8625,1.3708
103.8708,1.3708
103.8792,1.3708
103.8875,1.3708
103.8958,1.3708
103.9042,1.3708
103.9125,1.3708
103.9208,1.3708
103.9292,1.3708
103.9375,1.3708
103.9458,1.3708
103.9542,1.3708
103.9625,1.3708
103.9708,1.3708
103.9792,1.3708
103.9875,1.3708
103.9958,1.3708
104.0042,1.3708
103.6625,1.3625
103.6708,1.3625
103.6792,1.3625
103.6875,1.3625
103.6958,1.3625
103.7042,1.3625
103.7125,1.3625
103.7208,1.3625
103.7292,1.3625
103.7375,1.3625
103.7458,1.3625
103.7542,1.3625
103.7625,1.3625
103.7708,1.3625
103.7792,1.3625
103.7875,1.3625
103.7958,1.3625
103.8042,1.3625
103.8125,1.3625
103.8208,1.3625
103.8292,1.3625
103.8375,1.3625
103.8458,1.3625
103.8542,1.3625
103.8625,1.3625
103.8708,1.3625
103.8792,1.3625
103.8875,1.3625
103.8958,1.3625
103.9042,1.3625
103.9125,1.3625
103.9208,1.3625
103.9292,1.3625
103.9375,1.3625
103.9458,1.3625
103.9542,1.3625
103.9625,1.3625
103.9708,1.3625
103.9792,1.3625
103.9875,1.3625
103.9958,1.3625
103.6458,1.3542
103.6542,1.3542
103.6625,1.3542
103.6708,1.3542
103.6792,1.3542
103.6875,1.3542
103.6958,1.3542
103.7042,1.3542
103.7125,1.3542
103.7208,1.3542
103.7292,1.3542
103.7375,1.3542
103.7458,1.3542
103.7542,1.3542
103.7625,1.3542
103.7708,1.3542
103.7792,1.3542
103.7875,1.3542
103.7958,1.3542
103.8042,1.3542
103.8125,1.3542
103.8208,1.3542
103.8292,1.3542
103.8375,1.3542
103.8458,1.3542
103.8542,1.3542
103.8625,1.3542
103.8708,1.3542
103.8792,1.3542
103.8875,1.3542
103.8958,1.3542
103.9042,1.3542
103.9125,1.3542
103.9208,1.3542
103.9292,1.3542
103.9375,1.3542
103.9458,1.3542
103.9542,1.3542
103.9625,1.3542
103.9708,1.3542
103.9792,1.3542
103.9875,1.3542
103.9958,1.3542
103.6375,1.3458
103.6458,1.3458
103.6542,1.3458
103.6625,1.3458
103.6708,1.3458
103.6792,1.3458
103.6875,1.3458
103.6958,1.3458
103.7042,1.3458
103.7125,1.3458
103.7208,1.3458
103.7292,1.3458
103.7375,1.3458
103.7458,1.3458
103.7542,1.3458
103.7625,1.3458
103.7708,1.3458
103.7792,1.3458
103.7875,1.3458
103.7958,1.3458
103.8042,1.3458
103.8125,1.3458
103.8208,1.3458
103.8292,1.3458
103.8375,1.3458
103.8458,1.3458
103.8542,1.3458
103.8625,1.3458
103.8708,1.3458
103.8792,1.3458
103.8875,1.3458
103.8958,1.3458
103.9042,1.3458
103.9125,1.3458
103.9208,1.3458
103.9292,1.3458
103.9375,1.3458
103.9458,1.3458
103.9542,1.3458
103.9625,1.3458
103.9708,1.3458
103.9792,1.3458
103.9875,1.3458
103.9958,1.3458
103.6375,1.3375
103.6458,1.3375
103.6625,1.3375
103.6708,1.3375
103.6792,1.3375
103.6875,1.3375
103.6958,1.3375
103.7042,1.3375
103.7125,1.3375
103.7208,1.3375
103.7292,1.3375
103.7375,1.3375
103.7458,1.3375
103.7542,1.3375
103.7625,1.3375
103.7708,1.3375
103.7792,1.3375
103.7875,1.3375
103.7958,1.3375
103.8042,1.3375
103.8125,1.3375
103.8208,1.3375
103.8292,1.3375
103.8375,1.3375
103.8458,1.3375
103.8542,1.3375
103.8625,1.3375
103.8708,1.3375
103.8792,1.3375
103.8875,1.3375
103.8958,1.3375
103.9042,1.3375
103.9125,1.3375
103.9208,1.3375
103.9292,1.3375
103.9375,1.3375
103.9458,1.3375
103.9542,1.3375
103.9625,1.3375
103.9708,1.3375
103.9792,1.3375
103.9875,1.3375
103.6375,1.3292
103.6458,1.3292
103.6542,1.3292
103.6625,1.3292
103.6708,1.3292
103.6792,1.3292
103.6875,1.3292
103.6958,1.3292
103.7042,1.3292
103.7125,1.3292
103.7208,1.3292
103.7292,1.3292
103.7375,1.3292
103.7458,1.3292
103.7542,1.3292
103.7625,1.3292
103.7708,1.3292
103.7792,1.3292
103.7875,1.3292
103.7958,1.3292
103.8042,1.3292
103.8125,1.3292
103.8208,1.3292
103.8292,1.3292
103.8375,1.3292
103.8458,1.3292
103.8542,1.3292
103.8625,1.3292
103.8708,1.3292
103.8792,1.3292
103.8875,1.3292
103.8958,1.3292
103.9042,1.3292
103.9125,1.3292
103.9208,1.3292
103.9292,1.3292
103.9375,1.3292
103.9458,1.3292
103.9542,1.3292
103.9625,1.3292
103.9708,1.3292
103.9792,1.3292
103.9875,1.3292
103.6292,1.3208
103.6375,1.3208
103.6458,1.3208
103.6542,1.3208
103.6625,1.3208
103.6708,1.3208
103.6792,1.3208
103.6875,1.3208
103.6958,1.3208
103.7042,1.3208
103.7125,1.3208
103.7208,1.3208
103.7292,1.3208
